sale_date,product_name,product_category,product_description,sale_channel,production_cost,sale_price
8/9/2024,Guatemalan Gold,Liberica,Dark roast with a smoky undertone,whatsapp,73.99,186.49
18/4/2024,Peruvian Perfection,Liberica,Rich and bold with hints of chocolate,instagram,81.19,209.13
4/1/2024,Mocha Madness,Robusta,Smooth and nutty with a caramel finish,in-store,123.25,191.82
9/11/2024,Espresso Elegance,Liberica,Smooth and nutty with a caramel finish,whatsapp,142.09,180.75
17/6/2024,Colombian Comfort,Excelsa,Smooth and nutty with a caramel finish,web-site,61.92,102.79
5/9/2024,Jamaican Java Joy,Arabica,Light and crisp with a citrus twist,web-site,56.98,131.9
11/6/2024,Ethiopian Excellence,Liberica,Bright and fruity with floral notes,instagram,121.78,208.19
3/1/2024,Morning Blend Magic,Excelsa,Light and crisp with a citrus twist,web-site,55.6,210.46
17/10/2024,Brazilian Beauty,Liberica,Dark roast with a smoky undertone,instagram,132.62,91.64
21/8/2024,Sumatra Sunrise,Robusta,Dark roast with a smoky undertone,whatsapp,32.0,53.38
16/11/2024,Colombian Comfort,Arabica,Smooth and nutty with a caramel finish,web-site,40.31,208.95
28/5/2024,Mocha Madness,Excelsa,Rich and bold with hints of chocolate,in-store,87.33,170.44
29/8/2024,Sumatra Sunrise,Liberica,Light and crisp with a citrus twist,instagram,106.87,203.52
31/10/2024,Brazilian Beauty,Arabica,Dark roast with a smoky undertone,instagram,133.86,68.94
25/1/2024,Peruvian Perfection,Arabica,Rich and bold with hints of chocolate,web-site,110.85,61.37
19/4/2024,Guatemalan Gold,Excelsa,Smooth and nutty with a caramel finish,web-site,74.16,29.91
24/8/2024,Caramel Creme Dream,Catimor,Dark roast with a smoky undertone,in-store,87.64,112.79
29/10/2024,Guatemalan Gold,Arabica,Light and crisp with a citrus twist,web-site,42.67,82.88
23/9/2024,Jamaican Java Joy,Catimor,Smooth and nutty with a caramel finish,whatsapp,99.52,208.52
9/12/2024,Dark Roast Delight,Excelsa,Light and crisp with a citrus twist,web-site,138.16,163.52
14/12/2024,Peruvian Perfection,Arabica,Dark roast with a smoky undertone,whatsapp,141.51,152.44
6/8/2024,Peruvian Perfection,Catimor,Rich and bold with hints of chocolate,web-site,51.99,184.51
24/11/2024,Dark Roast Delight,Liberica,Bright and fruity with floral notes,in-store,72.99,117.67
8/2/2024,Peruvian Perfection,Robusta,Light and crisp with a citrus twist,instagram,68.04,106.76
7/3/2024,Mocha Madness,Excelsa,Smooth and nutty with a caramel finish,instagram,33.91,207.38
30/3/2024,Ethiopian Excellence,Catimor,Dark roast with a smoky undertone,whatsapp,36.0,97.89
22/9/2024,Jamaican Java Joy,Excelsa,Bright and fruity with floral notes,in-store,147.26,38.54
3/4/2024,Costa Rican Classic,Catimor,Rich and bold with hints of chocolate,in-store,125.16,172.8
17/2/2024,French Vanilla Fantasy,Liberica,Dark roast with a smoky undertone,web-site,126.41,51.87
9/2/2024,Morning Blend Magic,Liberica,Bright and fruity with floral notes,web-site,120.79,196.61
14/9/2024,Morning Blend Magic,Robusta,Smooth and nutty with a caramel finish,whatsapp,104.94,108.32
22/12/2024,Sumatra Sunrise,Liberica,Dark roast with a smoky undertone,web-site,141.71,122.67
24/4/2024,Brazilian Beauty,Catimor,Light and crisp with a citrus twist,web-site,64.36,42.02
22/5/2024,Espresso Elegance,Excelsa,Smooth and nutty with a caramel finish,in-store,114.79,59.34
12/2/2024,Jamaican Java Joy,Excelsa,Light and crisp with a citrus twist,in-store,121.94,101.47
12/6/2024,Brazilian Beauty,Liberica,Light and crisp with a citrus twist,web-site,90.94,194.31
3/11/2024,Morning Blend Magic,Catimor,Light and crisp with a citrus twist,whatsapp,109.51,202.1
2/3/2024,Sumatra Sunrise,Catimor,Rich and bold with hints of chocolate,in-store,50.8,151.92
1/2/2024,Morning Blend Magic,Catimor,Dark roast with a smoky undertone,in-store,61.24,193.24
27/1/2024,Espresso Elegance,Liberica,Light and crisp with a citrus twist,web-site,146.84,73.94
18/10/2024,Ethiopian Excellence,Liberica,Dark roast with a smoky undertone,whatsapp,117.04,207.04
8/5/2024,Morning Blend Magic,Liberica,Bright and fruity with floral notes,whatsapp,114.19,186.31
19/12/2024,Sumatra Sunrise,Arabica,Bright and fruity with floral notes,web-site,35.07,92.32
27/7/2024,Caramel Creme Dream,Arabica,Dark roast with a smoky undertone,web-site,131.59,186.39
29/8/2024,Peruvian Perfection,Arabica,Bright and fruity with floral notes,web-site,114.93,72.77
13/12/2024,Espresso Elegance,Robusta,Dark roast with a smoky undertone,instagram,26.24,30.69
8/10/2024,Costa Rican Classic,Arabica,Smooth and nutty with a caramel finish,whatsapp,58.95,53.18
25/10/2024,Jamaican Java Joy,Arabica,Rich and bold with hints of chocolate,whatsapp,50.13,66.84
30/12/2024,Espresso Elegance,Liberica,Light and crisp with a citrus twist,web-site,41.51,96.92
19/12/2024,Guatemalan Gold,Catimor,Rich and bold with hints of chocolate,web-site,27.79,175.99
10/11/2024,Peruvian Perfection,Excelsa,Dark roast with a smoky undertone,whatsapp,73.88,201.15
27/12/2024,Mocha Madness,Liberica,Dark roast with a smoky undertone,whatsapp,99.53,182.08
29/2/2024,Costa Rican Classic,Arabica,Smooth and nutty with a caramel finish,web-site,21.06,34.49
23/6/2024,Costa Rican Classic,Liberica,Rich and bold with hints of chocolate,whatsapp,110.96,196.77
19/6/2024,Morning Blend Magic,Robusta,Rich and bold with hints of chocolate,instagram,110.37,162.02
3/7/2024,Sumatra Sunrise,Arabica,Rich and bold with hints of chocolate,instagram,88.13,109.83
9/1/2024,Morning Blend Magic,Liberica,Light and crisp with a citrus twist,whatsapp,20.64,189.99
4/5/2024,Mocha Madness,Robusta,Dark roast with a smoky undertone,instagram,60.49,88.85
22/4/2024,Jamaican Java Joy,Catimor,Rich and bold with hints of chocolate,in-store,58.36,77.01
11/11/2024,Sumatra Sunrise,Liberica,Dark roast with a smoky undertone,in-store,82.43,177.96
21/1/2024,Sumatra Sunrise,Liberica,Rich and bold with hints of chocolate,web-site,108.57,46.13
9/3/2024,Ethiopian Excellence,Liberica,Rich and bold with hints of chocolate,whatsapp,126.02,169.77
18/3/2024,Dark Roast Delight,Liberica,Light and crisp with a citrus twist,web-site,129.38,113.23
2/2/2024,Hazelnut Heaven,Liberica,Rich and bold with hints of chocolate,web-site,35.4,84.37
25/12/2024,Guatemalan Gold,Catimor,Dark roast with a smoky undertone,in-store,51.07,94.39
24/4/2024,Guatemalan Gold,Catimor,Dark roast with a smoky undertone,in-store,117.9,85.49
1/4/2024,Morning Blend Magic,Robusta,Light and crisp with a citrus twist,instagram,25.53,172.9
25/4/2024,Mocha Madness,Liberica,Dark roast with a smoky undertone,instagram,124.93,109.59
20/3/2024,Colombian Comfort,Robusta,Smooth and nutty with a caramel finish,in-store,32.23,52.75
16/10/2024,Espresso Elegance,Robusta,Bright and fruity with floral notes,instagram,134.41,169.05
17/6/2024,Costa Rican Classic,Liberica,Rich and bold with hints of chocolate,in-store,120.07,193.27
26/7/2024,Ethiopian Excellence,Arabica,Light and crisp with a citrus twist,web-site,36.41,43.67
19/7/2024,Costa Rican Classic,Catimor,Bright and fruity with floral notes,whatsapp,39.86,99.86
28/9/2024,Hazelnut Heaven,Robusta,Rich and bold with hints of chocolate,web-site,41.0,58.87
25/4/2024,French Vanilla Fantasy,Catimor,Bright and fruity with floral notes,in-store,89.58,56.73
4/12/2024,French Vanilla Fantasy,Catimor,Dark roast with a smoky undertone,instagram,44.12,138.17
26/3/2024,Jamaican Java Joy,Arabica,Dark roast with a smoky undertone,in-store,49.95,174.46
20/2/2024,Ethiopian Excellence,Catimor,Bright and fruity with floral notes,whatsapp,132.54,183.91
5/7/2024,Espresso Elegance,Liberica,Bright and fruity with floral notes,in-store,55.9,187.68
13/5/2024,Mocha Madness,Robusta,Bright and fruity with floral notes,in-store,24.3,135.13
8/2/2024,Espresso Elegance,Robusta,Smooth and nutty with a caramel finish,whatsapp,43.64,115.41
11/1/2024,Costa Rican Classic,Catimor,Light and crisp with a citrus twist,in-store,80.71,88.6
28/11/2024,Sumatra Sunrise,Liberica,Rich and bold with hints of chocolate,in-store,66.25,109.21
16/4/2024,Caramel Creme Dream,Liberica,Rich and bold with hints of chocolate,whatsapp,138.6,156.76
9/10/2024,Jamaican Java Joy,Arabica,Dark roast with a smoky undertone,whatsapp,56.86,72.91
27/3/2024,Mocha Madness,Robusta,Light and crisp with a citrus twist,instagram,75.35,139.44
29/6/2024,Colombian Comfort,Catimor,Dark roast with a smoky undertone,web-site,79.93,130.71
11/6/2024,Peruvian Perfection,Liberica,Smooth and nutty with a caramel finish,instagram,112.25,148.84
3/8/2024,Dark Roast Delight,Robusta,Smooth and nutty with a caramel finish,whatsapp,100.25,31.78
26/8/2024,Ethiopian Excellence,Liberica,Light and crisp with a citrus twist,in-store,46.07,147.58
11/2/2024,Brazilian Beauty,Arabica,Rich and bold with hints of chocolate,in-store,95.27,54.22
25/1/2024,Morning Blend Magic,Excelsa,Dark roast with a smoky undertone,whatsapp,122.43,117.69
18/2/2024,Ethiopian Excellence,Liberica,Dark roast with a smoky undertone,in-store,42.13,192.83
2/9/2024,Peruvian Perfection,Catimor,Smooth and nutty with a caramel finish,whatsapp,56.1,155.51
20/4/2024,Morning Blend Magic,Catimor,Smooth and nutty with a caramel finish,in-store,84.53,173.96
14/5/2024,Mocha Madness,Excelsa,Rich and bold with hints of chocolate,in-store,74.28,91.54
5/8/2024,Hazelnut Heaven,Excelsa,Light and crisp with a citrus twist,instagram,27.14,141.51
3/9/2024,Caramel Creme Dream,Catimor,Smooth and nutty with a caramel finish,web-site,74.74,205.74
21/9/2024,Brazilian Beauty,Arabica,Dark roast with a smoky undertone,in-store,114.16,120.38
8/2/2024,Caramel Creme Dream,Robusta,Smooth and nutty with a caramel finish,in-store,74.9,198.37
6/8/2024,Morning Blend Magic,Liberica,Smooth and nutty with a caramel finish,instagram,143.04,61.64
3/9/2024,French Vanilla Fantasy,Liberica,Bright and fruity with floral notes,in-store,106.34,44.67
12/10/2024,Guatemalan Gold,Arabica,Dark roast with a smoky undertone,instagram,51.6,35.89
15/1/2024,Guatemalan Gold,Robusta,Dark roast with a smoky undertone,whatsapp,27.65,127.14
18/5/2024,Brazilian Beauty,Liberica,Dark roast with a smoky undertone,whatsapp,116.06,150.51
23/10/2024,French Vanilla Fantasy,Robusta,Smooth and nutty with a caramel finish,web-site,120.86,165.87
31/1/2024,Espresso Elegance,Arabica,Bright and fruity with floral notes,in-store,53.46,98.77
23/11/2024,Morning Blend Magic,Liberica,Light and crisp with a citrus twist,instagram,81.16,166.09
18/2/2024,Dark Roast Delight,Liberica,Rich and bold with hints of chocolate,web-site,141.08,195.53
25/7/2024,Caramel Creme Dream,Liberica,Rich and bold with hints of chocolate,instagram,54.34,154.85
22/4/2024,Guatemalan Gold,Excelsa,Light and crisp with a citrus twist,web-site,46.43,65.6
15/7/2024,Mocha Madness,Catimor,Bright and fruity with floral notes,instagram,29.96,42.35
13/9/2024,Caramel Creme Dream,Excelsa,Dark roast with a smoky undertone,instagram,41.59,170.14
1/9/2024,French Vanilla Fantasy,Excelsa,Rich and bold with hints of chocolate,web-site,142.89,48.84
26/1/2024,Costa Rican Classic,Arabica,Rich and bold with hints of chocolate,web-site,27.99,158.27
29/1/2024,Morning Blend Magic,Robusta,Bright and fruity with floral notes,whatsapp,100.18,181.55
20/12/2024,Mocha Madness,Catimor,Rich and bold with hints of chocolate,instagram,39.28,73.7
27/10/2024,Espresso Elegance,Excelsa,Bright and fruity with floral notes,instagram,45.7,127.1
23/11/2024,Brazilian Beauty,Excelsa,Rich and bold with hints of chocolate,instagram,118.97,88.87
15/5/2024,Mocha Madness,Excelsa,Rich and bold with hints of chocolate,instagram,56.27,150.64
28/2/2024,Colombian Comfort,Catimor,Bright and fruity with floral notes,web-site,123.23,121.17
26/2/2024,French Vanilla Fantasy,Robusta,Light and crisp with a citrus twist,web-site,126.98,194.89
24/10/2024,Guatemalan Gold,Robusta,Smooth and nutty with a caramel finish,whatsapp,47.32,146.05
4/1/2024,Jamaican Java Joy,Catimor,Rich and bold with hints of chocolate,whatsapp,87.54,103.27
22/1/2024,Jamaican Java Joy,Arabica,Dark roast with a smoky undertone,whatsapp,24.33,185.49
1/9/2024,Caramel Creme Dream,Robusta,Smooth and nutty with a caramel finish,whatsapp,52.56,96.8
17/11/2024,Ethiopian Excellence,Catimor,Bright and fruity with floral notes,whatsapp,102.93,198.4
18/10/2024,Colombian Comfort,Catimor,Light and crisp with a citrus twist,instagram,101.47,132.57
23/12/2024,Hazelnut Heaven,Arabica,Dark roast with a smoky undertone,web-site,30.87,104.86
10/6/2024,Caramel Creme Dream,Liberica,Dark roast with a smoky undertone,web-site,40.1,84.05
22/12/2024,Dark Roast Delight,Arabica,Dark roast with a smoky undertone,web-site,113.79,34.0
17/3/2024,Caramel Creme Dream,Catimor,Smooth and nutty with a caramel finish,web-site,126.57,116.57
14/4/2024,Peruvian Perfection,Catimor,Rich and bold with hints of chocolate,web-site,143.23,63.73
25/12/2024,Caramel Creme Dream,Catimor,Smooth and nutty with a caramel finish,whatsapp,58.32,209.4
2/3/2024,French Vanilla Fantasy,Arabica,Light and crisp with a citrus twist,whatsapp,60.59,95.53
23/10/2024,Caramel Creme Dream,Arabica,Rich and bold with hints of chocolate,web-site,93.31,112.44
26/7/2024,Espresso Elegance,Excelsa,Smooth and nutty with a caramel finish,in-store,93.75,65.01
30/10/2024,Hazelnut Heaven,Catimor,Bright and fruity with floral notes,in-store,46.07,29.75
4/4/2024,Dark Roast Delight,Arabica,Light and crisp with a citrus twist,instagram,45.09,187.9
5/6/2024,Espresso Elegance,Arabica,Dark roast with a smoky undertone,whatsapp,94.72,71.92
9/9/2024,Hazelnut Heaven,Arabica,Smooth and nutty with a caramel finish,instagram,74.21,140.72
16/4/2024,Guatemalan Gold,Catimor,Rich and bold with hints of chocolate,in-store,108.78,165.86
13/6/2024,Morning Blend Magic,Excelsa,Bright and fruity with floral notes,in-store,121.99,165.14
11/4/2024,Peruvian Perfection,Catimor,Rich and bold with hints of chocolate,whatsapp,122.36,42.45
22/3/2024,French Vanilla Fantasy,Arabica,Smooth and nutty with a caramel finish,whatsapp,70.2,78.38
28/2/2024,Ethiopian Excellence,Arabica,Bright and fruity with floral notes,whatsapp,69.3,28.71
20/11/2024,Brazilian Beauty,Liberica,Dark roast with a smoky undertone,instagram,148.12,94.94
8/8/2024,Guatemalan Gold,Liberica,Smooth and nutty with a caramel finish,web-site,52.43,154.99
28/3/2024,Colombian Comfort,Catimor,Dark roast with a smoky undertone,whatsapp,91.49,204.49
14/1/2024,Costa Rican Classic,Arabica,Smooth and nutty with a caramel finish,web-site,97.07,127.95
25/12/2024,Costa Rican Classic,Excelsa,Dark roast with a smoky undertone,web-site,28.97,140.06
2/11/2024,Colombian Comfort,Excelsa,Rich and bold with hints of chocolate,in-store,35.83,100.67
6/3/2024,Jamaican Java Joy,Excelsa,Smooth and nutty with a caramel finish,web-site,125.67,201.61
5/7/2024,Dark Roast Delight,Excelsa,Smooth and nutty with a caramel finish,web-site,71.36,119.45
11/3/2024,Brazilian Beauty,Catimor,Rich and bold with hints of chocolate,web-site,37.49,165.06
23/6/2024,Peruvian Perfection,Liberica,Rich and bold with hints of chocolate,in-store,74.33,199.07
17/5/2024,Jamaican Java Joy,Excelsa,Smooth and nutty with a caramel finish,in-store,84.23,32.03
2/6/2024,Morning Blend Magic,Robusta,Light and crisp with a citrus twist,instagram,73.4,49.65
26/2/2024,Sumatra Sunrise,Liberica,Light and crisp with a citrus twist,web-site,84.27,117.66
15/10/2024,French Vanilla Fantasy,Robusta,Dark roast with a smoky undertone,in-store,38.19,152.55
25/11/2024,Hazelnut Heaven,Excelsa,Rich and bold with hints of chocolate,web-site,123.08,78.16
11/5/2024,Ethiopian Excellence,Liberica,Bright and fruity with floral notes,web-site,56.1,45.52
13/9/2024,Brazilian Beauty,Arabica,Dark roast with a smoky undertone,instagram,76.53,151.32
4/3/2024,Hazelnut Heaven,Excelsa,Bright and fruity with floral notes,instagram,88.29,113.28
24/10/2024,Espresso Elegance,Robusta,Light and crisp with a citrus twist,in-store,44.39,138.22
